,0,1,2
intercept,-0.32020094138124977,-0.04629496356032196,0.3664959049415715
 Ethyl Acetate,-0.2159234378246417,-0.2328547857722399,0.44877822359688246
Ethanol,-0.12995051646460662,0.014876574613723817,0.11507394185088285
"Propanoic acid, ethyl ester",-0.03450561418778274,0.16598011837997897,-0.13147450419219445
2-Pentanone,0.17935449699240347,-0.12459248914947489,-0.05476200784292919
Decane,0.15870608300229475,-0.4651604139812325,0.30645433097893815
Methyl Isobutyl Ketone,0.052807702317763244,-0.3807432043027095,0.32793550198494553
Amylene hydrate,0.00021332681851197674,-0.09744281606780719,0.0972294892492953
"Butanoic acid, 2-methyl-, methyl ester",0.34568777427143627,-0.2718297853753441,-0.07385798889609199
Isobutyl acetate,0.09579477990524551,-0.14093847149791516,0.04514369159266901
Methyl isovalerate,0.19161121770597042,0.1329968830335664,-0.32460810073953644
1-Propanol,0.13657727638516984,-0.03922855757992698,-0.09734871880524384
Methyl thiolacetate,0.24227589882377873,0.21270293378900954,-0.4549788326127874
"Butanoic acid, 2-methyl-, ethyl ester",-0.2388133820342645,0.26555012702303354,-0.02673674498876922
2-Hexanone,0.08542080590511739,0.217591024061267,-0.30301182996638465
Ethyl isocyanide,-0.013129049378254067,0.1784273354166876,-0.1652982860384323
"1-Propanol, 2-methyl-",0.20085029766705037,0.013608801066048691,-0.21445909873309987
"2-Pentanol, 2-methyl-",-0.03074265891901194,-0.05781677289632096,0.08855943181533339
2-Pentanol,-0.020656333868203626,-0.04053530758456027,0.061191641452763686
"1-Butanol, 3-methyl-, acetate",-0.16202817591601643,0.19113846480470637,-0.029110288888689266
1 - Undecene,-0.003681810171278377,-0.05216172314911728,0.05584353332039608
1-Butanol,0.12005341968850144,0.23525243162933873,-0.3553058513178396
2-Heptanone,0.08525710123904388,0.005287640909533906,-0.09054474214857812
Dodecane,0.24213484807168756,-0.21218731837348462,-0.029947529698203416
"1-Butanol, 3-methyl-",-0.0006460804602388075,0.10452818103726051,-0.1038821005770228
 S-Methyl 3-methylbutanethioate,0.08047758393499133,-0.09198472124733223,0.011507137312339556
"2-Heptanone, 4,6-dimethyl-",0.2077174204577362,-0.2266345318191653,0.018917111361429522
" 3-Buten-1-ol, 3-methyl-",-0.22495528065160283,0.15554769361145704,0.06940758704014678
"Thiocyanic acid, methyl ester",0.19420921449174322,-0.15359798835952257,-0.04061122613222072
Acetoin,-0.16578029609566153,0.5793116273086933,-0.413531331213032
"1-Pentanol, 2-methyl-",0.09429752954326139,0.12384196053778006,-0.21813949008104166
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.11641096263998577,-0.062218939480756526,0.17862990212074087
"2-Heptanol, 4-methyl-",-0.19864727712895539,-0.2350722409343399,0.43371951806329395
2-Nonanone ,-0.08348770887538134,0.23013676072808967,-0.14664905185270938
Acetic acid,-0.10980026501977333,-0.17765709408842734,0.28745735910819975
2-Nonanol,-0.1923385216361351,0.11687516605636286,0.0754633555797722
Pyrrole,-0.13588013540583843,0.42157094450056937,-0.28569080909473005
"1H-Pyrrole, 2-methyl-",-0.3385559846115368,0.35178578900077695,-0.013229804389240051
"1-Heptanol, 2,4-dimethyl-,",0.04485181535141058,-0.09220410985144177,0.04735229450003091
Propanoic acid,0.04830548398666841,-0.20280104765577486,0.154495563669105
"Propanoic acid, 2-methyl-",0.3895036660072294,-0.1699891953822989,-0.21951447062493093
1-Octanol,-0.09124812036348247,0.1249206500860377,-0.033672529722553905
2-Undecanone,0.013049429640833395,-0.0099695308857699,-0.0030798987550634026
"Benzoic acid, methyl ester",-0.05411624401618734,0.04931668995653301,0.0047995540596541715
Butyrolactone ,0.39476031647106247,-0.06323527689499697,-0.33152503957606594
" Decanoic acid, ethyl ester",-0.0458006086628829,0.12079275665011721,-0.07499214798723264
"Acetic acid, decyl ester",-0.047036647090555606,0.10707034245002929,-0.06003369535947187
2-Undecanol,-0.08568968085413399,0.06615211744883367,0.019537563405300305
"Butanoic acid, 3-methyl-",-0.024762370517894032,-0.11402469235510952,0.13878706287300285
2-Dodecanone,0.1901785216326283,-0.04819883807003704,-0.14197968356259183
1-Decanol,-0.07804319937324097,0.16686326697207834,-0.08882006759883625
2-Tridecanone,0.07296799744165054,-0.05655363758829599,-0.01641435985335395
" Dodecanoic acid, ethyl ester",-0.04737029057835568,0.10080498831112182,-0.05343469773276435
"1,4-Butanediol",0.3899175719597918,-0.051908010067212615,-0.33800956189257947
Phenylethyl Alcohol,-0.12435591118823335,0.20496829915094517,-0.0806123879627108
"Acetophenone, 2'-amino-",-0.08168790012088965,-0.24090844468780845,0.3225963448086983
2-Tridecanol,-0.06352263778035407,0.07336901931289859,-0.0098463815325441
Tetradecanal,-0.010756618556735703,0.06831462095735935,-0.05755800240062191
1-Dodecanol,-0.05228842432040354,-0.027246834136940234,0.07953525845734485
Methyl tetradecanoate,-0.014588425000635227,-0.0432879040271657,0.057876329027801585
 2-Pentadecanone,0.030033931661150797,-0.0368743632324412,0.0068404315712911916
"Tetradecanoic acid, ethyl ester",-0.014953537817554282,0.1088717196704561,-0.09391818185289984
Hexadecanal,-0.03402475196730529,0.12183905762482178,-0.08781430565751427
n-Tridecan-1-ol,0.20159585219987183,-0.04575216816800225,-0.15584368403186966
1-Tetradecanol,-0.03685599577051194,-0.02416183129129957,0.061017827061813426
n-Pentadecanol,0.09854583078603035,-0.042324644794299704,-0.05622118599173124
 1-Hexadecanol,-0.06267802849924516,-0.06758660474563728,0.1302646332448837
Indole,-0.10706808315055233,-0.008585230921442536,0.11565331407199553
