,0,1,2
intercept,-0.30491994171089626,-0.06963104723878932,0.3745509889496793
 Ethyl Acetate,-0.2179561007844357,-0.18179898430112443,0.3997550850855582
Ethanol,-0.16862448737117194,0.1122212742241769,0.056403213146992134
"Propanoic acid, ethyl ester",-0.0366544815606378,0.08920028375409755,-0.052545802193461076
2-Pentanone,0.049420390051242186,-0.0042370707328797325,-0.04518331931836284
Decane,0.06421285297297825,-0.39227846358205265,0.32806561060907613
Methyl Isobutyl Ketone,0.11561389867898603,-0.38162638298512636,0.2660124843061418
Amylene hydrate,0.06271854644114191,-0.15252401426122683,0.08980546782008568
"Butanoic acid, 2-methyl-, methyl ester",0.16001968086702764,-0.1045226148936079,-0.055497065973419
Isobutyl acetate,0.0875680137747146,0.022368892509328796,-0.10993690628404308
Methyl isovalerate,0.14839897007350614,0.118435816121432,-0.2668347861949377
1-Propanol,0.13893480246148054,-0.04023843597845049,-0.09869636648302932
Methyl thiolacetate,0.061464937600990484,0.2697403535710349,-0.33120529117202413
"Butanoic acid, 2-methyl-, ethyl ester",-0.16821783094541382,0.31233041501391723,-0.14411258406850316
2-Hexanone,0.1598689683767422,0.11493996891119944,-0.274808937287942
Ethyl isocyanide,-0.0531656553980865,0.25075137760746674,-0.19758572220938073
"1-Propanol, 2-methyl-",-0.016797824109697455,0.050102868836384276,-0.033305044726684954
"2-Pentanol, 2-methyl-",-0.05913819198104639,-0.028652913830029925,0.08779110581107524
2-Pentanol,-0.021420744665094343,-0.03175874681291886,0.05317949147801424
"1-Butanol, 3-methyl-, acetate",-0.12084117678173162,0.10880054875975374,0.012040628021978313
1 - Undecene,-0.08639231671279601,0.12114243843777432,-0.03475012172497907
1-Butanol,-0.06757899611380894,0.2564536230410135,-0.18887462692720655
2-Heptanone,0.08110523018841047,-0.06493021395163584,-0.016175016236776675
Dodecane,0.26582529563032964,-0.21268326999403944,-0.05314202563629107
"1-Butanol, 3-methyl-",-0.035997136644823964,0.06353321515627519,-0.02753607851145017
 S-Methyl 3-methylbutanethioate,-0.08598318600280959,-0.004020136508266009,0.09000332251107593
"2-Heptanone, 4,6-dimethyl-",0.0813516214120306,-0.09233655585444035,0.01098493444240993
" 3-Buten-1-ol, 3-methyl-",-0.2660155777997681,0.24971475199154886,0.016300825808217616
"Thiocyanic acid, methyl ester",0.06815342996507692,-0.09288867872782736,0.02473524876275117
Acetoin,-0.2041911350172615,0.5971348035420716,-0.39294366852481005
"1-Pentanol, 2-methyl-",0.04849988695428431,0.008134882845845926,-0.056634769800129256
"Butanoic acid, 3-methyl-, 2-methylbutyl ester",-0.17869681297210974,0.055331498401666936,0.123365314570444
"2-Heptanol, 4-methyl-",-0.2146212997965656,-0.13823645942054333,0.35285775921711027
2-Nonanone ,-0.17908983281174568,0.35660186591125637,-0.17751203309951244
Acetic acid,-0.1220754733256408,-0.22027982350839018,0.3423552968340305
2-Nonanol,-0.17862640727336138,0.11232314644679257,0.06630326082656798
Pyrrole,-0.0576052101835917,0.017110937545961658,0.04049427263762914
"1H-Pyrrole, 2-methyl-",-0.286238051336138,0.10752715956409357,0.17871089177204377
"1-Heptanol, 2,4-dimethyl-,",-0.02251689070842762,-0.012454063266039874,0.03497095397446751
Propanoic acid,0.21049381712058932,0.0034057947749415248,-0.21389961189553255
"Propanoic acid, 2-methyl-",0.1189732249411829,-0.01297720989848204,-0.10599601504270006
1-Octanol,-0.14068594852312202,0.19033548545055326,-0.04964953692743358
2-Undecanone,-0.1509174938417956,0.32781192818429605,-0.17689443434250118
"Benzoic acid, methyl ester",-0.17118804401935164,-0.022972047745434817,0.19416009176478613
Butyrolactone ,0.4158590050797252,-0.052328782868399,-0.36353022221132597
" Decanoic acid, ethyl ester",-0.056794713480409584,0.02686498431898307,0.0299297291614254
"Acetic acid, decyl ester",-0.06550714938506264,0.17755215334383717,-0.11204500395877627
2-Undecanol,-0.14548554167583347,0.016195624228925957,0.12928991744690774
"Butanoic acid, 3-methyl-",0.054142668503231725,-0.34052342722153084,0.28638075871829943
2-Dodecanone,0.2383214146400118,-0.04583715804295415,-0.19248425659705612
1-Decanol,-0.09759040356847135,0.1797010345373599,-0.08211063096889042
2-Tridecanone,0.0921368979172638,-0.004533282053599124,-0.08760361586366382
" Dodecanoic acid, ethyl ester",-0.05903152174890012,0.03870656804638797,0.02032495370251084
"1,4-Butanediol",0.41603489816102207,-0.052225978359272264,-0.3638089198017495
Phenylethyl Alcohol,-0.18211654231481053,0.12922886307838782,0.05288767923642148
"Acetophenone, 2'-amino-",-0.07943271371046012,-0.09311369233473232,0.17254640604519292
2-Tridecanol,-0.018448605182099415,0.06806010370293694,-0.04961149852083761
Tetradecanal,-0.026971470839118675,0.09103633803619933,-0.06406486719708213
1-Dodecanol,-0.08713820960156146,0.06541080465249327,0.021727404949067164
Methyl tetradecanoate,-0.034446214299669285,0.059348231821655995,-0.02490201752198659
 2-Pentadecanone,0.07250819460757492,0.007117631344601146,-0.07962582595217588
"Tetradecanoic acid, ethyl ester",-0.028287986553188798,0.10086018452909164,-0.07257219797590489
Hexadecanal,-0.017649033449586397,0.10764393356841123,-0.08999490011882667
n-Tridecan-1-ol,0.24432697348144314,-0.04322237819688704,-0.20110459528455454
1-Tetradecanol,-0.04790975879976094,0.05776805160085819,-0.009858292801098992
n-Pentadecanol,0.07669961895444834,-0.021546660118209122,-0.055152958836239586
 1-Hexadecanol,-0.05415201559515173,0.057642649519515365,-0.003490633924365281
Indole,-0.1496383521973662,0.05544530458302459,0.09419304761434116
